Java Processes Log
iteration: 333 ; CPU: 4.98% ; MEM: 787.38 MB
iteration: 334 ; CPU: 5.00% ; MEM: 787.38 MB
iteration: 335 ; CPU: 5.00% ; MEM: 787.38 MB
iteration: 336 ; CPU: 4.93% ; MEM: 787.38 MB
iteration: 337 ; CPU: 4.95% ; MEM: 787.38 MB
iteration: 338 ; CPU: 4.95% ; MEM: 787.38 MB
iteration: 339 ; CPU: 4.95% ; MEM: 787.38 MB
iteration: 340 ; CPU: 4.90% ; MEM: 787.38 MB
iteration: 341 ; CPU: 4.90% ; MEM: 787.46 MB
iteration: 342 ; CPU: 4.90% ; MEM: 787.46 MB
iteration: 343 ; CPU: 4.91% ; MEM: 787.46 MB
iteration: 344 ; CPU: 4.86% ; MEM: 787.46 MB
iteration: 345 ; CPU: 4.86% ; MEM: 787.46 MB
iteration: 346 ; CPU: 4.88% ; MEM: 787.46 MB
iteration: 347 ; CPU: 4.88% ; MEM: 787.46 MB
iteration: 348 ; CPU: 4.83% ; MEM: 787.46 MB
iteration: 349 ; CPU: 4.85% ; MEM: 787.46 MB
iteration: 350 ; CPU: 4.85% ; MEM: 787.46 MB
iteration: 351 ; CPU: 4.85% ; MEM: 787.46 MB
iteration: 352 ; CPU: 4.81% ; MEM: 787.46 MB
iteration: 353 ; CPU: 4.81% ; MEM: 787.46 MB
iteration: 354 ; CPU: 4.81% ; MEM: 787.46 MB
iteration: 355 ; CPU: 4.81% ; MEM: 787.46 MB
iteration: 356 ; CPU: 4.76% ; MEM: 787.46 MB
iteration: 357 ; CPU: 4.80% ; MEM: 787.46 MB
iteration: 358 ; CPU: 4.80% ; MEM: 787.46 MB
iteration: 359 ; CPU: 4.80% ; MEM: 787.46 MB
iteration: 360 ; CPU: 4.75% ; MEM: 787.46 MB
iteration: 361 ; CPU: 4.75% ; MEM: 787.46 MB
iteration: 362 ; CPU: 4.75% ; MEM: 787.46 MB
iteration: 363 ; CPU: 4.76% ; MEM: 787.46 MB
iteration: 364 ; CPU: 4.71% ; MEM: 787.46 MB
iteration: 365 ; CPU: 4.73% ; MEM: 787.46 MB
iteration: 366 ; CPU: 4.73% ; MEM: 787.46 MB
iteration: 367 ; CPU: 4.73% ; MEM: 780.61 MB
iteration: 368 ; CPU: 4.70% ; MEM: 780.61 MB
iteration: 369 ; CPU: 4.70% ; MEM: 780.61 MB
