ROS Processes Log
iteration: 330 ; CPU: 67.43% ; MEM: 1905.74 MB
iteration: 331 ; CPU: 67.48% ; MEM: 1905.74 MB
iteration: 332 ; CPU: 67.48% ; MEM: 1905.74 MB
iteration: 333 ; CPU: 67.18% ; MEM: 1905.74 MB
iteration: 334 ; CPU: 67.40% ; MEM: 1905.74 MB
iteration: 335 ; CPU: 67.45% ; MEM: 1905.74 MB
iteration: 336 ; CPU: 67.45% ; MEM: 1905.74 MB
iteration: 337 ; CPU: 66.98% ; MEM: 1905.74 MB
iteration: 338 ; CPU: 67.35% ; MEM: 1905.74 MB
iteration: 339 ; CPU: 67.41% ; MEM: 1905.74 MB
iteration: 340 ; CPU: 67.41% ; MEM: 1905.74 MB
iteration: 341 ; CPU: 67.43% ; MEM: 1905.74 MB
iteration: 342 ; CPU: 67.31% ; MEM: 1905.74 MB
iteration: 343 ; CPU: 67.38% ; MEM: 1905.74 MB
iteration: 344 ; CPU: 67.38% ; MEM: 1905.74 MB
iteration: 345 ; CPU: 67.41% ; MEM: 1905.80 MB
iteration: 346 ; CPU: 67.30% ; MEM: 1905.80 MB
iteration: 347 ; CPU: 67.31% ; MEM: 1905.80 MB
iteration: 348 ; CPU: 67.36% ; MEM: 1905.80 MB
iteration: 349 ; CPU: 67.38% ; MEM: 1905.80 MB
iteration: 350 ; CPU: 66.91% ; MEM: 1905.80 MB
iteration: 351 ; CPU: 67.25% ; MEM: 1905.80 MB
iteration: 352 ; CPU: 67.28% ; MEM: 1905.80 MB
iteration: 353 ; CPU: 67.31% ; MEM: 1905.80 MB
iteration: 354 ; CPU: 67.55% ; MEM: 1905.80 MB
iteration: 355 ; CPU: 67.28% ; MEM: 1905.80 MB
iteration: 356 ; CPU: 67.28% ; MEM: 1905.80 MB
iteration: 357 ; CPU: 67.33% ; MEM: 1905.80 MB
iteration: 358 ; CPU: 67.38% ; MEM: 1905.80 MB
iteration: 359 ; CPU: 67.25% ; MEM: 1905.80 MB
iteration: 360 ; CPU: 67.26% ; MEM: 1905.80 MB
iteration: 361 ; CPU: 67.31% ; MEM: 1905.80 MB
iteration: 362 ; CPU: 67.01% ; MEM: 1905.80 MB
iteration: 363 ; CPU: 67.05% ; MEM: 1905.80 MB
iteration: 364 ; CPU: 67.23% ; MEM: 1905.80 MB
iteration: 365 ; CPU: 67.28% ; MEM: 1905.80 MB
iteration: 366 ; CPU: 67.48% ; MEM: 1905.80 MB
iteration: 367 ; CPU: 67.01% ; MEM: 1905.80 MB
iteration: 368 ; CPU: 67.21% ; MEM: 1905.80 MB
iteration: 369 ; CPU: 67.30% ; MEM: 1906.03 MB
iteration: 370 ; CPU: 67.00% ; MEM: 1906.05 MB
iteration: 371 ; CPU: 67.20% ; MEM: 1906.05 MB
iteration: 372 ; CPU: 67.20% ; MEM: 1906.05 MB
iteration: 373 ; CPU: 67.45% ; MEM: 1906.05 MB
iteration: 374 ; CPU: 66.98% ; MEM: 1906.05 MB
iteration: 375 ; CPU: 67.03% ; MEM: 1906.05 MB
iteration: 376 ; CPU: 67.23% ; MEM: 1906.05 MB
iteration: 377 ; CPU: 67.25% ; MEM: 1906.05 MB
iteration: 378 ; CPU: 67.46% ; MEM: 1906.05 MB
iteration: 379 ; CPU: 67.16% ; MEM: 1906.05 MB
iteration: 380 ; CPU: 67.21% ; MEM: 1906.05 MB
iteration: 381 ; CPU: 67.45% ; MEM: 1906.05 MB
iteration: 382 ; CPU: 66.98% ; MEM: 1906.05 MB
iteration: 383 ; CPU: 67.15% ; MEM: 1906.05 MB
iteration: 384 ; CPU: 67.16% ; MEM: 1906.05 MB
iteration: 385 ; CPU: 67.40% ; MEM: 1906.05 MB
iteration: 386 ; CPU: 67.45% ; MEM: 1906.05 MB
iteration: 387 ; CPU: 67.11% ; MEM: 1906.05 MB
iteration: 388 ; CPU: 67.15% ; MEM: 1906.05 MB
iteration: 389 ; CPU: 67.16% ; MEM: 1906.05 MB
iteration: 390 ; CPU: 67.38% ; MEM: 1906.05 MB
iteration: 391 ; CPU: 67.11% ; MEM: 1906.05 MB
iteration: 392 ; CPU: 67.11% ; MEM: 1906.15 MB
iteration: 393 ; CPU: 67.15% ; MEM: 1906.15 MB
iteration: 394 ; CPU: 67.35% ; MEM: 1906.15 MB
iteration: 395 ; CPU: 67.40% ; MEM: 1906.15 MB
iteration: 396 ; CPU: 67.10% ; MEM: 1906.15 MB
iteration: 397 ; CPU: 67.11% ; MEM: 1906.15 MB
iteration: 398 ; CPU: 67.33% ; MEM: 1906.15 MB
iteration: 399 ; CPU: 66.90% ; MEM: 1906.15 MB
iteration: 400 ; CPU: 66.91% ; MEM: 1906.15 MB
iteration: 401 ; CPU: 67.10% ; MEM: 1906.15 MB
iteration: 402 ; CPU: 67.26% ; MEM: 1906.15 MB
iteration: 403 ; CPU: 67.30% ; MEM: 1906.15 MB
iteration: 404 ; CPU: 67.05% ; MEM: 1906.15 MB
iteration: 405 ; CPU: 67.06% ; MEM: 1906.15 MB
iteration: 406 ; CPU: 67.06% ; MEM: 1906.15 MB
iteration: 407 ; CPU: 67.28% ; MEM: 1906.15 MB
iteration: 408 ; CPU: 66.85% ; MEM: 1906.15 MB
iteration: 409 ; CPU: 67.03% ; MEM: 1906.15 MB
iteration: 410 ; CPU: 67.03% ; MEM: 1906.15 MB
iteration: 411 ; CPU: 67.25% ; MEM: 1906.15 MB
